Image Name,Colorfulness Difference,Brightness Difference,Contrast Difference,Weighted Difference
1.jpg,0.17459159308929773,30.72446520587151,25.658800158687082,14.183112137684287
10.jpg,0.06289305585716272,40.747440766068436,29.81361847636095,17.67171133853595
100.jpg,0.019841886748811523,29.508390576199677,18.443939321125747,11.998003417705776
101.jpg,0.024634193962892906,49.1186740272858,10.830222314472234,14.999541182420954
102.jpg,0.10450216405079352,30.53711759784681,19.20621984118963,12.488085441784511
103.jpg,0.043401928904367226,128.8554220040332,10.30276012437923,34.811246496555285
104.jpg,0.04653573322210624,125.46371482810716,17.295769488563618,35.71313894577877
105.jpg,0.05514277278998922,132.9165678373665,9.787323317242143,35.703544175047135
106.jpg,0.04940321195587598,61.811164907471905,20.069735198339874,20.49492663243088
107.jpg,0.17407597041089193,93.04122640218135,10.957697086601664,26.086768857401193
108.jpg,0.030934106229894304,137.9300342725518,10.057446938077856,37.012337355772345
109.jpg,0.02131492722748116,29.17791084586172,19.143167446445954,12.090927036690656
11.jpg,0.03329354104263474,39.662746598106395,27.13629405697835,16.716406934292497
110.jpg,0.020010482868445967,98.22351806884801,11.749448078007129,27.503246778147982
111.jpg,0.018430840946507886,29.663290415240798,18.04898670533699,11.937284700617692
112.jpg,0.11177678720237519,28.42972269606796,13.100827006718742,10.438525819297867
113.jpg,0.013953914965968353,43.252078222624554,25.940794769063686,17.305195205405035
114.jpg,0.021266250041420662,98.3541488558851,11.325422835378514,27.43052604783661
115.jpg,0.06622406168837819,42.985859472624526,12.123678624974355,13.810496555243919
116.jpg,0.07329805356860894,122.078356031811,18.585110711102324,35.20251571251261
117.jpg,0.047469739554672805,125.42856436514428,17.659544580766966,35.79576210625515
118.jpg,0.0719741125010002,34.54063752872863,23.642320870462072,14.581726656048168
119.jpg,0.03389739123562117,56.13168907998317,24.545793249733116,20.18631927804688
12.jpg,0.03792563135350489,74.66446417096434,36.17032438023198,27.727659953475825
120.jpg,0.18339182677308533,31.12209712839474,23.157372544977996,13.66156333172974
121.jpg,0.11979240111911776,37.21615943842631,22.10723937978744,14.890745905113004
122.jpg,0.05292062958888225,41.602077901811285,21.29057022103092,15.749622345504992
123.jpg,0.02906057756399871,40.6029171589667,14.329389543600813,13.74760696442389
124.jpg,0.19196354074329885,36.95953226828738,9.913320117054996,11.814194866707243
125.jpg,0.041078835629260416,60.78816210772481,21.674153941432664,20.636118430104002
126.jpg,0.10481816552051466,34.26879821545702,17.363495037927358,12.960482396106347
127.jpg,0.06428440145969663,57.17138556964263,19.238758541930565,19.134678228623134
128.jpg,0.06550736290006835,62.38966490747193,9.860648367639545,18.095332000227884
129.jpg,0.22752417390381072,37.76980353564851,24.160744962239434,15.596399211423886
13.jpg,0.04190060963116986,46.87799884349376,14.48769572708993,15.362373947461505
130.jpg,0.051933173605576526,39.270647456248945,16.062888075365244,13.859350469706337
131.jpg,0.1029857722777165,33.9514569731731,16.743308922382983,12.725184360027859
132.jpg,0.041081726636011034,37.34606351828738,20.25475583891458,14.420745702618502
133.jpg,0.05778362283810823,59.69555567446865,9.821082491564654,17.408051352927387
134.jpg,0.05124114928035771,39.705645324958226,15.820915474118681,13.907260774409407
135.jpg,0.11465047304787239,41.53841702218168,10.479863989996515,13.06189548956849
136.jpg,0.11347222940363079,37.28201534120406,21.02045655019719,14.632354087552129
137.jpg,0.03343522513262646,30.741455367908525,10.003659556460653,10.202996343658608
138.jpg,0.013351387807526004,33.09790339083642,11.68068396203216,11.201322532120912
139.jpg,0.1774723155587243,36.39346195578738,19.087836277905126,13.959060716202499
14.jpg,0.05684437491291908,29.989408531317263,22.757837126676954,13.215233601955013
140.jpg,0.08294705727267536,38.80984710902674,21.99999959547563,15.243935204761934
141.jpg,0.0699140738062771,66.920098619106,16.774478133593227,20.95860122507795
142.jpg,0.08729038869044828,56.92267988870126,10.062633152972895,16.789973454763746
143.jpg,0.04557067826104894,31.93212099733482,16.659092623867256,12.170588744431054
144.jpg,0.014186948295540316,31.524195679583638,16.58511602483508,12.034421400252457
145.jpg,0.025071104601257953,46.14402271770073,23.115878388074112,17.327510828744337
146.jpg,0.009850047948113868,32.1922766552352,9.786389392354375,10.499591535871447
147.jpg,0.08955971656525152,69.73435972700213,24.00281976786994,23.479074732000644
148.jpg,0.10800243862875707,37.62860952523184,19.804686506871132,14.412325227340123
149.jpg,0.03969122985962785,61.67064407413857,10.664113980151553,18.10353512850235
15.jpg,0.02961977031369378,47.152732347759,19.35609100004266,16.642015722107253
150.jpg,0.025653519469066844,43.44167197262457,23.33891126250861,16.707972568517818
151.jpg,0.08659628941984453,67.97168833425518,24.548665635773606,23.173386637217114
152.jpg,0.11596322925692755,45.32759113735734,19.21996022993819,16.194869456452345
153.jpg,0.02288878461857556,36.174077185684524,17.763400398777016,13.495813788424668
154.jpg,0.07743391994613297,42.306692994282486,14.231847803101171,14.173352159318993
155.jpg,0.020426651259812044,59.99670989900567,15.03775209541377,18.768828824234774
156.jpg,0.11710935194329991,46.42381718143527,24.478726284297487,17.78419054240484
157.jpg,0.14062308420259087,45.25925212416042,12.4862154543956,14.5066784367403
158.jpg,0.10860323853438478,37.585430705787424,19.981680889624286,14.446079518120102
159.jpg,0.03841473889118171,64.36895120103546,28.230900811786835,23.16917037265116
16.jpg,0.206706986081552,30.006092917409596,26.130713310420155,14.137555049998214
160.jpg,0.062147696889583076,31.80745730992055,18.989700876308024,12.730363395001946
161.jpg,0.09862331804478955,29.629608254565245,18.30538555299364,12.033060110912116
162.jpg,0.04607751473282289,40.96376412480046,49.39501725635235,22.612734102654617
163.jpg,0.1203463659263875,60.109365377400735,22.929851987094576,20.819977524087037
164.jpg,0.08784128850862706,29.48214551122069,26.378938174709585,14.009191565736895
165.jpg,0.08837203217724694,29.984646378539495,22.875812088552824,13.259300632861711
166.jpg,0.04790496629266141,128.0937958466258,17.8009701925507,36.49764399294044
167.jpg,0.10368482764847577,73.25285278255761,24.812901272846435,24.568280927675268
168.jpg,0.09344194586403468,61.03505032413861,18.270441496378833,19.873093928061376
169.jpg,0.021699475044402883,99.26237223551468,16.901106075592892,29.051719315299092
17.jpg,0.06519707356745448,42.744390722624544,11.951245642578318,13.706507628084442
